"시도명",시군구명,도로종류,도로노선번호,도로노선명,도로노선방향,소재지도로명주소,소재지지번주소,위도,경도,신호기설치방식,도로형태,주도로여부,신호등관리번호,신호등구분,신호등색종류,신호등화방식,신호등화순서,신호등화시간,광원종류,신호제어방식,신호시간결정방식,점멸등운영여부,점멸등운영시작시각,점멸등운영종료시각,보행자작동신호기유무,잔여시간표시기유무,시각장애인용음향신호기유무,도로안내표지일련번호,관리기관명,관리기관전화번호,데이터기준일자
"세종특별자치시",없음,시도,없음,보듬8로,03,,세종특별자치시 도담동 908,36.5181680,127.2621580,03,02,Y,보듬8-23-1,01,3,4,녹색+녹색화살표+황색+적색,40+20+3+77,02,2,1,N,00:00,00:00,N,N,N,,세종시청,044-300-5536,2020-01-20
"세종특별자치시",없음,시도,없음,보듬8로,03,,세종특별자치시 도담동 908,36.5179630,127.2619580,03,02,Y,보듬8-23-2,01,3,4,녹색+녹색화살표+황색+적색,40+20+3+77,02,2,1,N,00:00,00:00,N,N,N,,세종시청,044-300-5536,2020-01-20
"세종특별자치시",없음,시도,없음,보듬8로,03,,세종특별자치시 도담동 908,36.5179760,127.2622290,03,02,Y,보듬8-23-3,01,3,3,녹색/녹색화살표+황색+적색,40+3+97,02,2,1,N,00:00,00:00,N,N,N,,세종시청,044-300-5536,2020-01-20
"세종특별자치시",없음,시도,없음,보듬8로,03,,세종특별자치시 도담동 908,36.5181370,127.2619150,03,02,Y,보듬8-23-4,01,3,3,녹색/녹색화살표+황색+적색,40+3+97,02,2,1,N,00:00,00:00,N,N,N,,세종시청,044-300-5536,2020-01-20
"세종특별자치시",없음,시도,없음,보듬6로,03,,세종특별자치시 도담동 922,36.5161020,127.2626390,03,02,Y,보듬6-24-1,01,3,4,녹색+녹색화살표+황색+적색,30+20+3+47,02,2,1,N,00:00,00:00,N,N,N,,세종시청,044-300-5536,2020-01-20
"세종특별자치시",없음,시도,없음,보듬6로,03,,세종특별자치시 도담동 922,36.5160050,127.2625320,03,02,Y,보듬6-24-2,01,3,4,녹색+녹색화살표+황색+적색,30+20+3+47,02,2,1,N,00:00,00:00,N,N,N,,세종시청,044-300-5536,2020-01-20
"세종특별자치시",없음,시도,없음,보듬6로,03,,세종특별자치시 도담동 922,36.5160010,127.2626550,03,02,Y,보듬6-24-3,01,3,3,녹색/녹색화살표+황색+적색,25+3+72,02,2,1,N,00:00,00:00,N,N,N,,세종시청,044-300-5536,2020-01-20
"세종특별자치시",없음,시도,없음,보듬6로,03,,세종특별자치시 도담동 922,36.5161130,127.2625050,03,02,Y,보듬6-24-4,01,3,3,녹색/녹색화살표+황색+적색,25+3+72,02,2,1,N,00:00,00:00,N,N,N,,세종시청,044-300-5536,2020-01-20
"세종특별자치시",없음,시도,없음,가름로,03,,세종특별자치시 종촌동 710,36.4992250,127.2495090,03,02,Y,가름-63-1,01,4,3,녹색/녹색화살표+황색+적색,45+3+112,02,2,1,N,00:00,00:00,N,N,N,,세종시청,044-300-5536,2020-01-20
"세종특별자치시",없음,시도,없음,가름로,03,,세종특별자치시 종촌동 710,36.4992550,127.2490280,03,02,Y,가름-63-2,01,4,3,녹색/녹색화살표+황색+적색,45+3+112,02,2,1,N,00:00,00:00,N,N,N,,세종시청,044-300-5536,2020-01-20
"세종특별자치시",없음,시도,없음,가름로,03,,세종특별자치시 종촌동 710,36.4991390,127.2490130,03,02,Y,가름-63-3,01,4,3,녹색/녹색화살표+황색+적색,45+3+112,02,2,1,N,00:00,00:00,N,N,N,,세종시청,044-300-5536,2020-01-20
"세종특별자치시",없음,시도,없음,가름로,03,,세종특별자치시 종촌동 710,36.4991000,127.2494850,03,02,Y,가름-63-4,01,4,3,녹색/녹색화살표+황색+적색,45+3+112,02,2,1,N,00:00,00:00,N,N,N,,세종시청,044-300-5536,2020-01-20
"세종특별자치시",없음,시도,없음,가름로,03,,세종특별자치시 종촌동 710,36.4990050,127.2492530,03,02,Y,가름-63-5,01,4,3,녹색/녹색화살표+황색+적색,35+3+122,02,2,1,N,00:00,00:00,N,N,N,,세종시청,044-300-5536,2020-01-20
"세종특별자치시",없음,시도,없음,가름로,03,,세종특별자치시 종촌동 710,36.4994220,127.2493450,03,02,Y,가름-63-6,01,4,3,녹색/녹색화살표+황색+적색,35+3+122,02,2,1,N,00:00,00:00,N,N,N,,세종시청,044-300-5536,2020-01-20
"세종특별자치시",없음,시도,없음,가름로,03,,세종특별자치시 종촌동 710,36.4994200,127.2491940,03,02,Y,가름-63-7,01,4,3,녹색/녹색화살표+황색+적색,35+3+122,02,2,1,N,00:00,00:00,N,N,N,,세종시청,044-300-5536,2020-01-20
"세종특별자치시",없음,시도,없음,가름로,03,,세종특별자치시 종촌동 710,36.4990080,127.2491170,03,02,Y,가름-63-8,01,4,3,녹색/녹색화살표+황색+적색,35+3+122,02,2,1,N,00:00,00:00,N,N,N,,세종시청,044-300-5536,2020-01-20
"세종특별자치시",없음,시도,없음,달빛로,03,,세종특별자치시 아름동 1458,36.5096370,127.2497310,03,02,Y,달빛-72-1,01,3,3,녹색화살표+황색+적색,32+3+85,02,2,1,N,00:00,00:00,N,N,N,,세종시청,044-300-5536,2020-01-20
"세종특별자치시",없음,시도,없음,달빛로,03,,세종특별자치시 아름동 1458,36.5094240,127.2499690,03,02,Y,달빛-72-2,01,3,3,녹색+황색+적색,73+3+43,02,2,1,N,00:00,00:00,N,N,N,,세종시청,044-300-5536,2020-01-20
"세종특별자치시",없음,시도,없음,달빛로,03,,세종특별자치시 아름동 1458,36.5096220,127.2499820,03,02,Y,달빛-72-3,01,3,3,녹색+황색+적색,73+3+43,02,2,1,N,00:00,00:00,N,N,N,,세종시청,044-300-5536,2020-01-20
"세종특별자치시",없음,시도,없음,달빛로,03,,세종특별자치시 아름동 1458,36.5096370,127.2497310,03,02,Y,달빛-72-4,01,4,4,녹색+녹색/녹색화살표+황색+적색,73+15+3+29,02,2,1,N,00:00,00:00,N,N,N,,세종시청,044-300-5536,2020-01-20
"세종특별자치시",없음,시도,없음,달빛1로,03,,세종특별자치시 아름동 1471,36.5149190,127.2457780,03,02,Y,달빛1-87-1,01,3,3,녹색+황색+적색,72+3+45,02,2,1,N,00:00,00:00,N,N,N,,세종시청,044-300-5536,2020-01-20
"세종특별자치시",없음,시도,없음,달빛1로,03,,세종특별자치시 아름동 1471,36.5148740,127.2457740,03,02,Y,달빛1-87-2,01,3,3,녹색화살표+황색+적색,24+3+93,02,2,1,N,00:00,00:00,N,N,N,,세종시청,044-300-5536,2020-01-20
"세종특별자치시",없음,시도,없음,달빛1로,03,,세종특별자치시 아름동 1471,36.5149650,127.2456160,03,02,Y,달빛1-87-3,01,3,4,녹색+녹색화살표+황색+적색,72+24+3+21,02,2,1,N,00:00,00:00,N,N,N,,세종시청,044-300-5536,2020-01-20
"세종특별자치시",없음,시도,없음,달빛1로,03,,세종특별자치시 아름동 1471,36.5146870,127.2456800,03,02,Y,달빛1-87-4,01,4,4,녹색+녹색화살표+황색+적색,72+24+3+21,02,2,1,N,00:00,00:00,N,N,N,,세종시청,044-300-5536,2020-01-20
"세종특별자치시",없음,시도,없음,세종로,03,,세종특별자치시 고운동 1477,36.5173630,127.2415400,03,02,Y,세종-105-1,01,3,3,녹색화살표+황색+적색,29+3+128,02,2,1,N,00:00,00:00,N,N,N,,세종시청,044-300-5536,2020-01-20
"세종특별자치시",없음,시도,없음,세종로,03,,세종특별자치시 고운동 1477,36.5174830,127.2419660,03,02,Y,세종-105-2,01,3,3,녹색화살표+황색+적색,29+3+128,02,2,1,N,00:00,00:00,N,N,N,,세종시청,044-300-5536,2020-01-20
"세종특별자치시",없음,시도,없음,세종로,03,,세종특별자치시 고운동 1477,36.5173550,127.2419180,03,02,Y,세종-105-3,01,3,4,녹색화살표+녹색+황색+적색,29+102+3+26,02,2,1,N,00:00,00:00,N,N,N,,세종시청,044-300-5536,2020-01-20
"세종특별자치시",없음,시도,없음,세종로,03,,세종특별자치시 고운동 1477,36.5175040,127.2415820,03,02,Y,세종-105-4,01,4,3,녹색+황색+적색,102+3+55,02,2,1,N,00:00,00:00,N,N,N,,세종시청,044-300-5536,2020-01-20
"세종특별자치시",없음,시도,없음,마음로,03,,세종특별자치시 고운동 2057,36.5042940,127.2352680,03,02,Y,마음-130-1,01,3,3,녹색+황색+적색,95+3+22,02,2,1,N,00:00,00:00,N,N,N,,세종시청,044-300-5536,2020-01-20
"세종특별자치시",없음,시도,없음,마음로,03,,세종특별자치시 고운동 2057,36.5041730,127.2351470,03,02,Y,마음-130-2,01,3,3,녹색+황색+적색,95+3+22,02,2,1,N,00:00,00:00,N,N,N,,세종시청,044-300-5536,2020-01-20
"세종특별자치시",없음,시도,없음,나리로,03,,세종특별자치시 한솔동 1249,36.4786170,127.2617800,03,02,Y,나리-2-1-1,01,3,3,녹색+황색+적색,103+3+54,02,2,1,N,00:00,00:00,N,N,N,,세종시청,044-300-5536,2020-01-20
"세종특별자치시",없음,시도,없음,나리로,03,,세종특별자치시 한솔동 1249,36.4784390,127.2614940,03,02,Y,나리-2-1-2,01,3,3,녹색+황색+적색,103+3+54,02,2,1,N,00:00,00:00,N,N,N,,세종시청,044-300-5536,2020-01-20
"세종특별자치시",없음,시도,없음,나리로,03,,세종특별자치시 한솔동 1249,36.4782020,127.2617000,03,02,Y,나리-2-1-3,01,4,4,녹색/녹색화살표+황색+적색,25+103+3+29,02,2,1,N,00:00,00:00,N,N,N,,세종시청,044-300-5536,2020-01-20
"세종특별자치시",없음,시도,없음,나리로,03,,세종특별자치시 한솔동 1249,36.4783890,127.2619970,03,02,Y,나리-2-1-4,01,4,4,녹색/녹색화살표+황색+적색,25+103+3+29,02,2,1,N,00:00,00:00,N,N,N,,세종시청,044-300-5536,2020-01-20
"세종특별자치시",없음,시도,없음,나리로,03,,세종특별자치시 한솔동 1249,36.4783890,127.2619970,03,02,Y,나리-2-1-5,01,3,3,녹색화살표+황색+적색,32+3+125,02,2,1,N,00:00,00:00,N,N,N,,세종시청,044-300-5536,2020-01-20
"세종특별자치시",없음,시도,없음,나리로,03,,세종특별자치시 한솔동 1249,36.4783890,127.2619970,03,02,Y,나리-2-1-6,01,3,3,녹색화살표+황색+적색,32+3+125,02,2,1,N,00:00,00:00,N,N,N,,세종시청,044-300-5536,2020-01-20
"세종특별자치시",없음,시도,없음,누리로,03,,세종특별자치시 한솔동 1229,36.4754540,127.2524950,03,02,Y,누리-2-7-1,01,4,3,녹색/녹색화살표+황색+적색,20+3+97,02,2,1,N,00:00,00:00,N,N,N,,세종시청,044-300-5536,2020-01-20
"세종특별자치시",없음,시도,없음,누리로,03,,세종특별자치시 한솔동 1229,36.4755200,127.2526930,03,02,Y,누리-2-7-2,01,4,3,녹색/녹색화살표+황색+적색,20+3+97,02,2,1,N,00:00,00:00,N,N,N,,세종시청,044-300-5536,2020-01-20
"세종특별자치시",없음,시도,없음,누리로,03,,세종특별자치시 한솔동 1229,36.4755770,127.2525600,03,02,Y,누리-2-7-3,01,4,3,녹색/녹색화살표+황색+적색,40+3+77,02,2,1,N,00:00,00:00,N,N,N,,세종시청,044-300-5536,2020-01-20
"세종특별자치시",없음,시도,없음,누리로,03,,세종특별자치시 한솔동 1229,36.4754100,127.2526170,03,02,Y,누리-2-7-4,01,4,3,녹색/녹색화살표+황색+적색,40+3+77,02,2,1,N,00:00,00:00,N,N,N,,세종시청,044-300-5536,2020-01-20
"세종특별자치시",없음,시도,없음,누리로,03,,세종특별자치시 한솔동 1229,36.4800680,127.2525700,03,02,Y,누리-2-12-1,01,3,3,녹색+황색+적색,92+3+25,02,2,1,N,00:00,00:00,N,N,N,,세종시청,044-300-5536,2020-01-20
"세종특별자치시",없음,시도,없음,누리로,03,,세종특별자치시 한솔동 1229,36.4801760,127.2524630,03,02,Y,누리-2-12-2,01,3,3,녹색+황색+적색,92+3+25,02,2,1,N,00:00,00:00,N,N,N,,세종시청,044-300-5536,2020-01-20
"세종특별자치시",없음,시도,없음,어울로,03,,세종특별자치시 한솔동 1227,36.4807520,127.2506080,03,02,Y,어울-2-61-1,01,4,4,녹색+녹색화살표+황색+적색,36+20+3+61,02,2,1,N,00:00,00:00,N,N,N,,세종시청,044-300-5536,2020-01-20
"세종특별자치시",없음,시도,없음,어울로,03,,세종특별자치시 한솔동 1227,36.4807060,127.2504530,03,02,Y,어울-2-61-2,01,4,4,녹색+녹색화살표+황색+적색,36+20+3+61,02,2,1,N,00:00,00:00,N,N,N,,세종시청,044-300-5536,2020-01-20
"세종특별자치시",없음,시도,없음,어울로,03,,세종특별자치시 한솔동 1227,36.4805940,127.2504610,03,02,Y,어울-2-61-3,01,4,4,녹색+녹색화살표+황색+적색,36+20+3+61,02,2,1,N,00:00,00:00,N,N,N,,세종시청,044-300-5536,2020-01-20
"세종특별자치시",없음,시도,없음,어울로,03,,세종특별자치시 한솔동 1227,36.4806500,127.2506420,03,02,Y,어울-2-61-4,01,4,4,녹색+녹색화살표+황색+적색,36+20+3+61,02,2,1,N,00:00,00:00,N,N,N,,세종시청,044-300-5536,2020-01-20
"세종특별자치시",없음,시도,없음,어울로,03,,세종특별자치시 한솔동 1227,36.4806160,127.2506200,03,02,Y,어울-2-61-5,01,4,3,녹색/녹색화살표+황색+적색,32+3+85,02,2,1,N,00:00,00:00,N,N,N,,세종시청,044-300-5536,2020-01-20
"세종특별자치시",없음,시도,없음,어울로,03,,세종특별자치시 한솔동 1227,36.4807730,127.2505790,03,02,Y,어울-2-61-6,01,4,3,녹색/녹색화살표+황색+적색,32+3+85,02,2,1,N,00:00,00:00,N,N,N,,세종시청,044-300-5536,2020-01-20
"세종특별자치시",없음,시도,없음,어울로,03,,세종특별자치시 한솔동 1227,36.4807490,127.2504770,03,02,Y,어울-2-61-7,01,4,3,녹색/녹색화살표+황색+적색,32+3+85,02,2,1,N,00:00,00:00,N,N,N,,세종시청,044-300-5536,2020-01-20
"세종특별자치시",없음,시도,없음,어울로,03,,세종특별자치시 한솔동 1227,36.4805830,127.2505010,03,02,Y,어울-2-61-8,01,4,3,녹색/녹색화살표+황색+적색,32+3+85,02,2,1,N,00:00,00:00,N,N,N,,세종시청,044-300-5536,2020-01-20
"세종특별자치시",없음,시도,없음,장기로,03,,세종특별자치시 장군면 봉안리 508,36.4989520,127.2259650,03,02,Y,당암3-1,01,4,4,녹색화살표+녹색+황색+적색,33+102+3+22,02,2,1,N,00:00,00:00,N,N,N,,세종시청,044-300-5536,2020-01-20
"세종특별자치시",없음,시도,없음,장기로,03,,세종특별자치시 장군면 봉안리 508,36.4989390,127.2257980,03,02,Y,당암3-2,01,4,4,녹색화살표+녹색+황색+적색,33+102+3+22,02,2,1,N,00:00,00:00,N,N,N,,세종시청,044-300-5536,2020-01-20
"세종특별자치시",없음,시도,없음,장기로,03,,세종특별자치시 장군면 봉안리 508,36.4987980,127.2257420,03,02,Y,당암3-3,01,3,3,녹색+황색+적색,102+3+124,02,2,1,N,00:00,00:00,N,N,N,,세종시청,044-300-5536,2020-01-20
"세종특별자치시",없음,시도,없음,장기로,03,,세종특별자치시 장군면 봉안리 508,36.4988070,127.2259960,03,02,Y,당암3-4,01,3,3,녹색+황색+적색,102+3+124,02,2,1,N,00:00,00:00,N,N,N,,세종시청,044-300-5536,2020-01-20
"세종특별자치시",없음,시도,없음,장기로,03,,세종특별자치시 장군면 봉안리 508,36.4988070,127.2259960,03,02,Y,당암3-5,01,3,3,녹색화살표+황색+적색,25+3+132,02,2,1,N,00:00,00:00,N,N,N,,세종시청,044-300-5536,2020-01-20
"세종특별자치시",없음,시도,없음,장기로,03,,세종특별자치시 장군면 봉안리 508,36.4989520,127.2259650,03,02,Y,당암3-6,01,3,3,녹색화살표+황색+적색,25+3+132,02,2,1,N,00:00,00:00,N,N,N,,세종시청,044-300-5536,2020-01-20
"세종특별자치시",없음,시도,없음,오봉로,03,,세종특별자치시 조치원읍 봉산리 140,36.6044360,127.2787190,03,02,Y,봉산3-1,01,4,4,녹색화살표+녹색+황색+적색,13+64+3+20,02,2,1,N,00:00,00:00,N,N,N,,세종시청,044-300-5536,2020-01-20
"세종특별자치시",없음,시도,없음,오봉로,03,,세종특별자치시 조치원읍 봉산리 140,36.6043460,127.2786320,03,02,Y,봉산3-2,01,4,4,녹색화살표+녹색+황색+적색,13+64+3+20,02,2,1,N,00:00,00:00,N,N,N,,세종시청,044-300-5536,2020-01-20
"세종특별자치시",없음,시도,없음,오봉로,03,,세종특별자치시 조치원읍 봉산리 140,36.6042790,127.2787350,03,02,Y,봉산3-3,01,3,3,녹색+황색+적색,64+3+33,02,2,1,N,00:00,00:00,N,N,N,,세종시청,044-300-5536,2020-01-20
"세종특별자치시",없음,시도,없음,오봉로,03,,세종특별자치시 조치원읍 봉산리 140,36.6043590,127.2788180,03,02,Y,봉산3-4,01,3,3,녹색+황색+적색,64+3+33,02,2,1,N,00:00,00:00,N,N,N,,세종시청,044-300-5536,2020-01-20
"세종특별자치시",없음,시도,없음,오봉로,03,,세종특별자치시 조치원읍 봉산리 140,36.6043220,127.2788090,03,02,Y,봉산3-5,01,3,3,녹색화살표+황색+적색,23+3+74,02,2,1,N,00:00,00:00,N,N,N,,세종시청,044-300-5536,2020-01-20
"세종특별자치시",없음,시도,없음,오봉로,03,,세종특별자치시 조치원읍 봉산리 140,36.6043460,127.2786320,03,02,Y,봉산3-6,01,3,3,녹색화살표+황색+적색,23+3+74,02,2,1,N,00:00,00:00,N,N,N,,세종시청,044-300-5536,2020-01-20
"세종특별자치시",없음,시도,없음,왕의물로,03,,세종특별자치시 전의면 관정리 297-4,36.6994990,127.2100810,03,02,Y,관정4-1,01,4,3,녹색화살표+황색+적색,20+3+127,02,2,1,N,00:00,00:00,N,N,N,,세종시청,044-300-5536,2020-01-20
"세종특별자치시",없음,시도,없음,왕의물로,03,,세종특별자치시 전의면 관정리 297-4,36.6993380,127.2100850,03,02,Y,관정4-2,01,3,3,녹색화살표+황색+적색,30+3+117,02,2,1,N,00:00,00:00,N,N,N,,세종시청,044-300-5536,2020-01-20
"세종특별자치시",없음,시도,없음,왕의물로,03,,세종특별자치시 전의면 관정리 297-4,36.6993680,127.2103100,03,02,Y,관정4-3,01,3,3,녹색화살표+황색+적색,30+3+117,02,2,1,N,00:00,00:00,N,N,N,,세종시청,044-300-5536,2020-01-20
"세종특별자치시",없음,시도,없음,왕의물로,03,,세종특별자치시 전의면 관정리 297-4,36.6993680,127.2103100,03,02,Y,관정4-4,01,4,4,녹색+녹색화살표+황색+적색,80+20+3+47,02,2,1,N,00:00,00:00,N,N,N,,세종시청,044-300-5536,2020-01-20
"세종특별자치시",없음,시도,없음,왕의물로,03,,세종특별자치시 전의면 관정리 297-4,36.6998440,127.2102860,03,02,Y,관정4-5,01,4,4,녹색+녹색화살표+황색+적색,80+20+3+47,02,2,1,N,00:00,00:00,N,N,N,,세종시청,044-300-5536,2020-01-20
"세종특별자치시",없음,시도,없음,왕의물로,03,,세종특별자치시 전의면 관정리 297-4,36.6994990,127.2100810,03,02,Y,관정4-6,01,4,4,녹색+녹색화살표+황색+적색,80+20+3+47,02,2,1,N,00:00,00:00,N,N,N,,세종시청,044-300-5536,2020-01-20
"세종특별자치시",없음,시도,없음,왕의물로,03,,세종특별자치시 전의면 관정리 297-4,36.6993380,127.2100850,03,02,Y,관정4-7,01,4,4,녹색+녹색화살표+황색+적색,80+20+3+47,02,2,1,N,00:00,00:00,N,N,N,,세종시청,044-300-5536,2020-01-20
"세종특별자치시",없음,시도,없음,왕의물로,03,,세종특별자치시 전의면 동교리 249-1,36.6893610,127.2052900,03,02,Y,동교4-1,01,4,3,녹색화살표+황색+적색,20+3+127,02,2,1,N,00:00,00:00,N,N,N,,세종시청,044-300-5536,2020-01-20
"세종특별자치시",없음,시도,없음,왕의물로,03,,세종특별자치시 전의면 동교리 249-1,36.6893570,127.2051270,03,02,Y,동교4-2,01,4,3,녹색화살표+황색+적색,20+3+127,02,2,1,N,00:00,00:00,N,N,N,,세종시청,044-300-5536,2020-01-20
"세종특별자치시",없음,시도,없음,왕의물로,03,,세종특별자치시 전의면 동교리 249-1,36.6892580,127.2051470,03,02,Y,동교4-3,01,4,3,녹색화살표+황색+적색,33+3+114,02,2,1,N,00:00,00:00,N,N,N,,세종시청,044-300-5536,2020-01-20
"세종특별자치시",없음,시도,없음,왕의물로,03,,세종특별자치시 전의면 동교리 249-1,36.6892550,127.2053010,03,02,Y,동교4-4,01,4,3,녹색화살표+황색+적색,33+3+114,02,2,1,N,00:00,00:00,N,N,N,,세종시청,044-300-5536,2020-01-20
"세종특별자치시",없음,시도,없음,왕의물로,03,,세종특별자치시 전의면 동교리 249-1,36.6892550,127.2053010,03,02,Y,동교4-5,01,4,4,녹색+녹색화살표+황색+적색,77+20+3+50,02,2,1,N,00:00,00:00,N,N,N,,세종시청,044-300-5536,2020-01-20
"세종특별자치시",없음,시도,없음,왕의물로,03,,세종특별자치시 전의면 동교리 249-1,36.6893610,127.2052900,03,02,Y,동교4-6,01,4,4,녹색+녹색화살표+황색+적색,77+20+3+50,02,2,1,N,00:00,00:00,N,N,N,,세종시청,044-300-5536,2020-01-20
"세종특별자치시",없음,시도,없음,왕의물로,03,,세종특별자치시 전의면 동교리 249-1,36.6893570,127.2051270,03,02,Y,동교4-7,01,4,4,녹색+녹색화살표+황색+적색,77+20+3+50,02,2,1,N,00:00,00:00,N,N,N,,세종시청,044-300-5536,2020-01-20
"세종특별자치시",없음,시도,없음,왕의물로,03,,세종특별자치시 전의면 동교리 249-1,36.6892580,127.2051470,03,02,Y,동교4-8,01,4,4,녹색+녹색화살표+황색+적색,77+20+3+50,02,2,1,N,00:00,00:00,N,N,N,,세종시청,044-300-5536,2020-01-20
"세종특별자치시",없음,시도,없음,내판로,03,,세종특별자치시 연동면 내판리 325-2,36.5481430,127.3253340,03,02,Y,내판4-1,01,4,3,녹색화살표+황색+적색,20+3+97,02,2,1,N,00:00,00:00,N,N,N,,세종시청,044-300-5536,2020-01-20
"세종특별자치시",없음,시도,없음,내판로,03,,세종특별자치시 연동면 내판리 325-2,36.5482640,127.3251040,03,02,Y,내판4-2,01,4,3,녹색화살표+황색+적색,20+3+97,02,2,1,N,00:00,00:00,N,N,N,,세종시청,044-300-5536,2020-01-20
"세종특별자치시",없음,시도,없음,내판로,03,,세종특별자치시 연동면 내판리 325-2,36.5481960,127.3249530,03,02,Y,내판4-3,01,4,3,녹색화살표+황색+적색,35+3+82,02,2,1,N,00:00,00:00,N,N,N,,세종시청,044-300-5536,2020-01-20
"세종특별자치시",없음,시도,없음,내판로,03,,세종특별자치시 연동면 내판리 325-2,36.5481500,127.3251940,03,02,Y,내판4-4,01,4,3,녹색화살표+황색+적색,35+3+82,02,2,1,N,00:00,00:00,N,N,N,,세종시청,044-300-5536,2020-01-20
"세종특별자치시",없음,시도,없음,내판로,03,,세종특별자치시 연동면 내판리 325-2,36.5481210,127.3251230,03,02,Y,내판4-5,01,4,4,녹색+녹색화살표+황색+적색,45+20+3+52,02,2,1,N,00:00,00:00,N,N,N,,세종시청,044-300-5536,2020-01-20
"세종특별자치시",없음,시도,없음,내판로,03,,세종특별자치시 연동면 내판리 325-2,36.5482020,127.3252780,03,02,Y,내판4-6,01,4,4,녹색+녹색화살표+황색+적색,45+20+3+52,02,2,1,N,00:00,00:00,N,N,N,,세종시청,044-300-5536,2020-01-20
"세종특별자치시",없음,시도,없음,내판로,03,,세종특별자치시 연동면 내판리 325-2,36.5482640,127.3251550,03,02,Y,내판4-7,01,4,4,녹색+녹색화살표+황색+적색,45+20+3+52,02,2,1,N,00:00,00:00,N,N,N,,세종시청,044-300-5536,2020-01-20
"세종특별자치시",없음,시도,없음,내판로,03,,세종특별자치시 연동면 내판리 325-2,36.5481750,127.3249770,03,02,Y,내판4-8,01,4,4,녹색+녹색화살표+황색+적색,45+20+3+52,02,2,1,N,00:00,00:00,N,N,N,,세종시청,044-300-5536,2020-01-20
"세종특별자치시",없음,시도,없음,다정남로,03,,세종특별자치시 다정동 9-7,36.4951200,127.2491150,03,02,Y,다정1-1,01,3,3,녹색+황색+적색,97+3+20,02,2,1,N,00:00,00:00,N,N,N,,세종시청,044-300-5536,2020-01-20
"세종특별자치시",없음,시도,없음,다정남로,03,,세종특별자치시 다정동 9-7,36.4952000,127.2478510,03,02,Y,다정1-2,01,3,3,녹색+황색+적색,97+3+20,02,2,1,N,00:00,00:00,N,N,N,,세종시청,044-300-5536,2020-01-20
