주차장 이름,도로명 주소,위도,경도,구분,
두정먹자골목 주차장,충청남도 천안시 서북구 두정동 889,36.8325,127.135,민영,
두정동 1366 공영 주차장,충남 천안시 서북구 두정동 1366,36.8311,127.1391,공영,
두정문화회관 주차장,충남 천안시 서북구 봉정로 343 천안시두정문화회관,36.8331,127.1451,공영,
두정대일 주차장,충남 천안시 서북구 두정동 85-3,36.8329,127.1495,민영,
두정도서관 주차장,충남 천안시 서북구 부성3길 9 두정도서관,36.8347,127.1347,공영,
두정 민영 주차장,충남 천안시 서북구 두정동 1323,36.8332,127.1414,민영,
대박 주차장,충남 천안시 서북구 두정상가7길 32,36.8316,127.14,민영,
퓨전리더스주차빌딩,충남 천안시 서북구 두정로 117,36.8344,127.1299,일반,
두정 주차장,충남 천안시 서북구 두정동 1323,36.8332,127.1415,민영,
애마 주차장,충남 천안시 서북구 성정두정로 56 주차장입구,36.8295,127.141,민영,
신천안 주차장,충남 천안시 서북구 두정상가3길 21 신천안주차장,36.8322,127.141,일반,
천안롯데슈퍼 주차장,충남 천안시 서북구 오성로 9,36.8339,127.1308,일반,
월드컵 주차장,충남 천안시 서북구 두정동 1390,36.8306,127.1411,일반,
충청지방통계청천안사무소 주차장,충남 천안시 서북구 오성로 89,36.8307,127.1375,일반,
샷뽀로 천안점 주차장,충남 천안시 서북구 두정동 807-1,36.8311,127.1337,일반,
하이스타운1차 주차장,충남 천안시 서북구 두정상가3길 28,36.8321,127.1412,일반,
천안두정초등학교 주차장,충남 천안시 서북구 두정역서1길 10,36.8365,127.1471,일반,
노블레스모텔 주차장,충남 천안시 서북구 두정동 1351,36.8317,127.1391,일반,
두정중학교 주차장,충남 천안시 서북구 두정중1길 26,36.8364,127.1395,일반,
서들한우전용 추자장,,36.8347,127.1332,일반,
오성초등학교 주차장,충남 천안시 서북구 오성5길 23,36.8315,127.13,일반,
한국전력공사 천안지사 주차장,충남 천안시 서북구 동서대로 77,36.8266,127.1316,일반,
베이징전용 주차장,충남 천안시 서북구 두정로 135,36.8343,127.132,일반,
맛찬들왕소금구이 두정점 주차장,충남 천안시 서북구 원두정6길 6,36.8315,127.1336,일반,
옹기보리전용 주차장,충청남도 천안시 서북구 오성7길 42,36.8323,127.1326,일반,
광덕새마을금고 두정점 주차장,충청남도 천안시 동남구 청룡동 청수6로 106-3,36.7898,127.1554,일반,
신대초등학교 주차장,충남 천안시 서북구 성정두정로 130,36.8374,127.1428,일반,
신부제1공영주차장,충남 천안시 동남구 터미널8길 7,36.8225,127.158,공영,
신부제3공영주차장,충남 천안시 동남구 신부동 331-38,36.8207,127.1541,공영,
신부문화회관 주차장,충남 천안시 동남구 신부2길 12,36.8178,127.1594,공영,
신부제4공영주차장,충남 천안시 동남구 먹거리9길 16,36.8176,127.1556,공영,
신부 유료 주차장,충남 천안시 동남구 신부12길 8,36.8183,127.159,민영,
민빌딩 주차장 ,,36.8333,127.1357,일반,
류마앤장내과의원전용주차장입구,,36.8251,127.138,일반,
고기굽는정원 주차장,충남 천안시 서북구 원두정8길 26,36.8325,127.1364,일반,
리오타운 주차장,,36.8326,127.1374,일반,
아날로그 주차장,충남 천안시 서북구 두정로 188,36.8329,127.1375,일반,
엘씨 주차장,충남 천안시 두정동 899,36.8324,127.1338,민영,